,MEASUREMENT_SOURCE_ID,HIT_DATE,TOTAL_IMPS,PREVIOUS_IMPS,PREVIOUS_YR_IMPS,DOD_PERCENT,YOY
0,Youtube - Parner Sold,2022-12-11,11708387,12086765,24768899.0,Drop 3.13%,Drop 52.73%
1,Yahoo,2022-12-11,97430696,68088215,77189242.0,Rise 43.09%,Rise 26.22%
2,Twitter,2022-12-11,108364882,116202489,156180239.0,Drop 6.74%,Drop 30.62%
3,Youtube - DV 360,2022-12-11,1040586278,1088194991,888127132.0,Drop 4.38%,Rise 17.17%
4,Snapchat,2022-12-11,81488523,84469402,64524695.0,Drop 3.53%,Rise 26.29%
5,Linkedin,2022-12-11,1677780,1635303,523499.0,Rise 2.60%,Rise 220.49%
6,Youtube - Reserve,2022-12-11,36875844,39260813,55283700.0,Drop 6.07%,Drop 33.30%
7,Facebook,2022-12-11,4019256817,4026991785,3430211373.0,Drop 0.19%,Rise 17.17%
8,Youtube - Google Ads,2022-12-11,395085199,422541866,427110411.0,Drop 6.50%,Drop 7.50%
9,Spotify,2022-12-11,8853673,9313614,,Drop 4.94%,NO CHANGE
10,Pinterest,2022-12-11,128613758,122019639,57426181.0,Rise 5.40%,Rise 123.96%
