,MEASUREMENT_SOURCE_ID,HIT_DATE,TOTAL_IMPS,PREVIOUS_IMPS,PREVIOUS_YR_IMPS,DOD_PERCENT,YOY
0,Twitter,2022-12-12,118332246,108364882,170723420.0,9.2,-30.69
1,Snapchat,2022-12-12,74665992,81488523,61834077.0,-8.37,20.75
2,Linkedin,2022-12-12,2401118,1677780,526891.0,43.11,355.71
3,Facebook,2022-12-12,3833216587,4019256817,3512928652.0,-4.63,9.12
4,Youtube - DV 360,2022-12-12,1002711312,1040586278,854945881.0,-3.64,17.28
5,Spotify,2022-12-12,10414610,8853673,,17.63,
6,Yahoo,2022-12-12,82348553,97430696,96520189.0,-15.48,-14.68
7,Pinterest,2022-12-12,120610187,128613758,80208739.0,-6.22,50.37
8,Youtube - Google Ads,2022-12-12,399186008,395085199,417246942.0,1.04,-4.33
9,Youtube - Reserve,2022-12-12,40804774,36875844,52059451.0,10.65,-21.62
10,Youtube - Partner Sold,2022-12-12,12113166,11708387,23599825.0,3.46,-48.67
